review_id,seller_id,rating,review_text,review_date
1,2,2,"Product is okay, delivery was slow.",2024-11-13
2,19,4,Met my expectations.,2024-02-03
3,16,5,Will definitely buy again.,2024-03-09
4,15,3,Met my expectations.,2023-01-19
5,7,5,Outstanding service and quality.,2023-12-05
6,10,3,Met my expectations.,2023-02-10
7,1,4,Acceptable service.,2024-01-15
8,16,5,Excellent product and fast delivery.,2023-07-01
9,8,4,"Product is okay, delivery was slow.",2023-05-30
10,10,4,Nothing special but not bad.,2023-06-27
11,13,1,Poor packaging and slow response.,2023-11-27
12,7,4,Excellent product and fast delivery.,2024-05-04
13,15,2,Acceptable service.,2024-07-11
14,17,3,"Product is okay, delivery was slow.",2024-04-23
15,20,3,"Fair product, average shipping.",2024-11-03
16,9,4,Great experience overall.,2024-12-22
17,18,5,Nice,2024-06-09
18,14,5,BEST PRODUCT EVER!!! AMAZING!!!,2023-09-02
19,2,3,Decent quality for the price.,2023-06-27
20,9,5,Product exactly as described.,2023-12-04
21,13,5,SUPER GREAT SELLER!!! BUY NOW!!!,2024-02-26
22,19,4,Acceptable service.,2024-10-20
23,6,5,Excellent! Highly recommended!,2024-05-20
24,1,4,"Product is okay, delivery was slow.",2023-04-24
25,2,3,Met my expectations.,2023-07-28
26,17,4,"Fair product, average shipping.",2024-07-15
27,8,4,Nothing special but not bad.,2023-02-25
28,1,2,"Product is okay, delivery was slow.",2024-06-09
29,20,4,Nothing special but not bad.,2024-03-10
30,11,2,Acceptable service.,2024-10-13
31,3,4,Decent quality for the price.,2023-09-30
32,3,5,Best,2024-08-01
33,20,3,Nothing special but not bad.,2023-08-02
34,16,5,Great experience overall.,2024-10-11
35,7,5,"Very good quality, satisfied.",2023-12-16
36,10,3,Decent quality for the price.,2024-05-19
37,19,4,Met my expectations.,2023-11-17
38,4,5,Excellent product and fast delivery.,2024-07-25
39,18,3,Met my expectations.,2024-09-16
40,6,1,Slow customer service.,2023-11-26
41,2,3,"Average experience, could be better.",2024-06-12
42,13,3,Would not recommend.,2024-11-29
43,19,2,"Average experience, could be better.",2024-03-04
44,20,3,Nothing special but not bad.,2023-11-16
45,10,3,"Average experience, could be better.",2023-11-29
46,13,1,Not satisfied with the quality.,2024-09-14
47,1,2,Nothing special but not bad.,2023-12-12
48,8,2,Met my expectations.,2023-05-26
49,20,4,Nothing special but not bad.,2024-05-20
50,17,3,Met my expectations.,2023-04-27
51,1,3,Met my expectations.,2024-04-27
52,10,3,"Fair product, average shipping.",2024-09-30
53,19,3,Acceptable service.,2024-09-10
54,6,1,Not satisfied with the quality.,2024-12-23
55,19,2,"Average experience, could be better.",2024-09-10
56,18,2,"Fair product, average shipping.",2023-09-27
57,17,2,"Average experience, could be better.",2023-10-15
58,18,3,Met my expectations.,2024-09-19
59,6,5,Perfect! Will buy again!,2023-05-23
60,20,4,Decent quality for the price.,2024-04-02
61,16,3,"Very good quality, satisfied.",2024-11-17
62,9,4,"Very good quality, satisfied.",2024-02-11
63,17,3,"Average experience, could be better.",2024-05-15
64,13,1,Disappointing experience.,2023-02-28
65,8,3,"Product is okay, delivery was slow.",2024-03-29
66,15,3,Decent quality for the price.,2024-05-30
67,18,2,"Product is okay, delivery was slow.",2023-05-10
68,6,2,Poor packaging and slow response.,2023-06-12
69,2,2,"Fair product, average shipping.",2023-11-12
70,17,4,Nothing special but not bad.,2023-07-02
71,18,4,Acceptable service.,2024-12-09
72,4,4,Excellent product and fast delivery.,2023-02-05
73,1,3,Decent quality for the price.,2024-10-12
74,7,5,"Very good quality, satisfied.",2023-04-03
75,19,4,"Average experience, could be better.",2024-11-11
76,19,2,"Fair product, average shipping.",2023-11-24
77,10,3,Acceptable service.,2024-06-03
78,19,4,"Product is okay, delivery was slow.",2024-05-19
79,18,4,Nothing special but not bad.,2023-07-30
80,6,2,Slow customer service.,2024-06-29
